ORF	hom | growth (colony size) | 6-azauracil [200 ug/ml] | Riles L~Reines D, 2004
YCL074W	0.000
YCL075W	0.000
YCL076W	0.000
YCR020W-B	0.000
YCR021C	0.000
YCR023C	0.000
YCR024C-A	0.000
YCR025C	0.000
YCR026C	0.000
YCR027C	0.000
YCR028C	0.000
YCR030C	0.000
YCR031C	0.000
YCR032W	0.000
YCR033W	0.000
YCR034W	0.000
YCR036W	0.000
YCR037C	0.000
YCR043C	0.000
YCR045C	0.000
YCR047C	0.000
YCR048W	0.000
YCR049C	0.000
YCR050C	0.000
YCR051W	0.000
YCR059C	0.000
YCR060W	0.000
YCR061W	0.000
YCR062W	0.000
YCR065W	0.000
YCR066W	0.000
YCR067C	0.000
YCR068W	0.000
YCR069W	0.000
YCR073C	0.000
YCR073W-A	0.000
YCR075C	0.000
YCR076C	0.000
YCR079W	0.000
YCR081W	0.000
YCR082W	0.000
YCR083W	0.000
YCR085W	0.000
YCR086W	0.000
YCR087C-A	0.000
YCR087W	0.000
YCR088W	0.000
YCR089W	0.000
YCR095C	0.000
YCR102W-A	0.000
YCR107W	0.000
YDL001W	0.000
YDL002C	0.000
YDL006W	0.000
YDL009C	0.000
YDL010W	0.000
YDL011C	0.000
YDL012C	0.000
YDL013W	0.000
YDL018C	0.000
YDL019C	0.000
YDL020C	0.000
YDL021W	0.000
YDL022W	0.000
YDL023C	0.000
YDL024C	0.000
YDL025C	0.000
YDL026W	0.000
YDL027C	0.000
YDL033C	0.000
YDL034W	0.000
YDL035C	0.000
YDL036C	0.000
YDL037C	0.000
YDL038C	0.000
YDL039C	0.000
YDL040C	0.000
YDL041W	0.000
YDL046W	0.000
YDL048C	0.000
YDL049C	0.000
YDL050C	0.000
YDL051W	0.000
YDL052C	0.000
YDL053C	0.000
YDL054C	0.000
YDL057W	0.000
YDL059C	0.000
YDL061C	0.000
YDL062W	0.000
YDL063C	0.000
YDL065C	0.000
YDL066W	0.000
YDL070W	0.000
YDL071C	0.000
YDL072C	0.000
YDL073W	0.000
YDL074C	0.000
YDL075W	0.000
YDL076C	0.000
YDL078C	0.000
YDL079C	0.000
YDL080C	0.000
YDL081C	0.000
YDL082W	0.000
YDL083C	0.000
YDL085W	0.000
YDL086W	0.000
YDL088C	0.000
YDL089W	0.000
YDL090C	0.000
YDL091C	0.000
YDL093W	0.000
YDL094C	0.000
YDL095W	0.000
YDL096C	0.000
YDL099W	0.000
YDL100C	0.000
YDL101C	-1.000
YDL104C	0.000
YDL106C	0.000
YDL109C	0.000
YDL110C	0.000
YDL112W	0.000
YDL113C	0.000
YDL114W	0.000
YDL115C	0.000
YDL116W	0.000
YDL117W	0.000
YDL118W	0.000
YDL119C	0.000
YDL121C	0.000
YDL122W	0.000
YDL123W	0.000
YDL124W	0.000
YDL125C	0.000
YDL127W	0.000
YDL128W	0.000
YDL129W	0.000
YDL130W	0.000
YDL131W	0.000
YDL133W	0.000
YDL134C	0.000
YDL134C-A	0.000
YDL135C	0.000
YDL136W	0.000
YDL137W	0.000
YDL138W	0.000
YDL142C	0.000
YDL144C	0.000
YDL146W	0.000
YDL149W	0.000
YDL151C	0.000
YDL154W	0.000
YDL155W	0.000
YDL156W	0.000
YDL157C	0.000
YDL160C	0.000
YDL161W	0.000
YDL162C	0.000
YDL167C	0.000
YDL168W	0.000
YDL169C	0.000
YDL170W	0.000
YDL171C	0.000
YDL172C	-2.000
YDL173W	-2.000
YDL174C	0.000
YDL175C	0.000
YDL176W	0.000
YDL177C	0.000
YDL178W	0.000
YDL179W	0.000
YDL180W	0.000
YDL182W	0.000
YDL183C	0.000
YDL184C	0.000
YDL185W	0.000
YDL186W	0.000
YDL187C	0.000
YDL188C	0.000
YDL189W	0.000
YDL190C	0.000
YDL194W	0.000
YDL200C	0.000
YDL204W	0.000
YDL205C	0.000
YDL206W	0.000
YDL210W	0.000
YDL211C	0.000
YDL218W	0.000
YDL223C	0.000
YDL224C	0.000
YDL227C	0.000
YDL231C	0.000
YDL233W	0.000
YDL237W	0.000
YDL238C	0.000
YDL239C	0.000
YDL240W	0.000
YDL241W	0.000
YDR003W	0.000
YDR006C	0.000
YDR007W	0.000
YDR009W	0.000
YDR010C	0.000
YDR011W	0.000
YDR014W	0.000
YDR029W	0.000
YDR030C	0.000
YDR031W	0.000
YDR032C	0.000
YDR033W	0.000
YDR034C	0.000
YDR035W	0.000
YDR036C	0.000
YDR042C	0.000
YDR043C	0.000
YDR046C	0.000
YDR048C	0.000
YDR051C	0.000
YDR055W	0.000
YDR056C	0.000
YDR057W	0.000
YDR059C	0.000
YDR061W	0.000
YDR063W	0.000
YDR066C	0.000
YDR067C	0.000
YDR068W	0.000
YDR070C	0.000
YDR072C	0.000
YDR073W	0.000
YDR075W	0.000
YDR076W	0.000
YDR077W	0.000
YDR078C	0.000
YDR083W	0.000
YDR084C	0.000
YDR085C	0.000
YDR089W	0.000
YDR090C	0.000
YDR092W	0.000
YDR093W	0.000
YDR094W	0.000
YDR095C	0.000
YDR096W	0.000
YDR097C	0.000
YDR098C	0.000
YDR099W	0.000
YDR100W	0.000
YDR101C	0.000
YDR102C	0.000
YDR104C	0.000
YDR105C	0.000
YDR107C	0.000
YDR108W	0.000
YDR109C	0.000
YDR110W	0.000
YDR111C	0.000
YDR112W	0.000
YDR116C	0.000
YDR117C	0.000
YDR119W	0.000
YDR120C	0.000
YDR121W	0.000
YDR122W	0.000
YDR124W	0.000
YDR125C	0.000
YDR126W	0.000
YDR127W	0.000
YDR128W	0.000
YDR130C	0.000
YDR131C	0.000
YDR132C	0.000
YDR133C	0.000
YDR134C	0.000
YDR135C	0.000
YDR136C	0.000
YDR137W	0.000
YDR139C	0.000
YDR140W	0.000
YDR142C	0.000
YDR143C	0.000
YDR144C	0.000
YDR146C	0.000
YDR147W	0.000
YDR148C	0.000
YDR150W	0.000
YDR151C	0.000
YDR152W	0.000
YDR153C	0.000
YDR154C	0.000
YDR155C	0.000
YDR156W	0.000
YDR157W	0.000
YDR159W	0.000
YDR161W	0.000
YDR163W	0.000
YDR165W	0.000
YDR169C	0.000
YDR171W	0.000
YDR178W	0.000
YDR179C	0.000
YDR179W-A	0.000
YDR181C	0.000
YDR183W	0.000
YDR184C	0.000
YDR185C	0.000
YDR186C	0.000
YDR191W	0.000
YDR192C	0.000
YDR193W	0.000
YDR198C	0.000
YDR199W	0.000
YDR203W	0.000
YDR206W	0.000
YDR209C	0.000
YDR210W	0.000
YDR213W	0.000
YDR214W	0.000
YDR215C	0.000
YDR216W	0.000
YDR217C	0.000
YDR218C	0.000
YDR219C	0.000
YDR220C	0.000
YDR221W	0.000
YDR222W	0.000
YDR223W	0.000
YDR225W	0.000
YDR229W	0.000
YDR233C	0.000
YDR234W	0.000
YDR239C	0.000
YDR241W	0.000
YDR242W	0.000
YDR244W	0.000
YDR245W	0.000
YDR247W	0.000
YDR248C	0.000
YDR249C	0.000
YDR250C	0.000
YDR251W	0.000
YDR252W	0.000
YDR253C	0.000
YDR254W	0.000
YDR255C	0.000
YDR256C	0.000
YDR257C	0.000
YDR258C	0.000
YDR259C	0.000
YDR260C	0.000
YDR261C	0.000
YDR262W	0.000
YDR263C	0.000
YDR265W	0.000
YDR266C	0.000
YDR269C	0.000
YDR270W	0.000
YDR271C	0.000
YDR272W	0.000
YDR273W	0.000
YDR274C	0.000
YDR275W	0.000
YDR276C	0.000
YDR277C	0.000
YDR278C	0.000
YDR279W	0.000
YDR281C	0.000
YDR282C	0.000
YDR283C	0.000
YDR284C	0.000
YDR285W	0.000
YDR286C	0.000
YDR287W	0.000
YDR290W	0.000
YDR291W	0.000
YDR294C	0.000
YDR295C	0.000
YDR297W	0.000
YDR304C	0.000
YDR305C	0.000
YDR306C	0.000
YDR307W	0.000
YDR309C	0.000
YDR310C	0.000
YDR312W	0.000
YDR313C	0.000
YDR314C	0.000
YDR315C	-3.000
YDR316W	0.000
YDR317W	0.000
YDR318W	0.000
YDR319C	0.000
YDR321W	0.000
YDR326C	0.000
YDR329C	0.000
YDR330W	0.000
YDR333C	0.000
YDR334W	0.000
YDR335W	0.000
YDR336W	0.000
YDR338C	0.000
YDR340W	0.000
YDR344C	0.000
YDR345C	0.000
YDR346C	0.000
YDR348C	0.000
YDR349C	0.000
YDR350C	0.000
YDR351W	0.000
YDR352W	0.000
YDR357C	0.000
YDR358W	0.000
YDR360W	0.000
YDR363W	0.000
YDR368W	0.000
YDR369C	0.000
YDR370C	0.000
YDR371W	0.000
YDR372C	0.000
YDR374C	0.000
YDR379W	0.000
YDR380W	0.000
YDR382W	0.000
YDR383C	0.000
YDR384C	0.000
YDR385W	0.000
YDR386W	0.000
YDR387C	0.000
YDR391C	0.000
YDR392W	-3.000
YDR393W	0.000
YDR395W	0.000
YDR399W	0.000
YDR400W	0.000
YDR401W	0.000
YDR402C	0.000
YDR403W	0.000
YDR406W	0.000
YDR408C	0.000
YDR409W	0.000
YDR411C	0.000
YDR414C	0.000
YDR415C	0.000
YDR417C	0.000
YDR418W	0.000
YDR419W	0.000
YDR420W	0.000
YDR421W	0.000
YDR422C	0.000
YDR423C	0.000
YDR424C	0.000
YDR425W	0.000
YDR426C	0.000
YDR428C	0.000
YDR430C	0.000
YDR431W	0.000
YDR435C	0.000
YDR436W	0.000
YDR438W	0.000
YDR439W	0.000
YDR440W	0.000
YDR441C	0.000
YDR442W	0.000
YDR443C	0.000
YDR444W	0.000
YDR446W	0.000
YDR447C	0.000
YDR448W	0.000
YDR450W	0.000
YDR451C	0.000
YDR452W	0.000
YDR453C	0.000
YDR455C	0.000
YDR456W	0.000
YDR457W	0.000
YDR458C	0.000
YDR459C	0.000
YDR461W	0.000
YDR463W	-3.000
YDR465C	0.000
YDR466W	0.000
YDR467C	0.000
YDR469W	0.000
YDR470C	0.000
YDR471W	0.000
YDR474C	0.000
YDR476C	0.000
YDR477W	0.000
YDR479C	0.000
YDR480W	0.000
YDR481C	0.000
YDR482C	0.000
YDR483W	0.000
YDR484W	0.000
YDR485C	0.000
YDR486C	0.000
YDR488C	0.000
YDR490C	0.000
YDR491C	0.000
YDR492W	0.000
YDR493W	0.000
YDR494W	0.000
YDR496C	0.000
YDR497C	0.000
YDR500C	0.000
YDR501W	0.000
YDR502C	0.000
YDR503C	0.000
YDR504C	0.000
YDR505C	0.000
YDR506C	0.000
YDR508C	0.000
YDR511W	0.000
YDR512C	0.000
YDR513W	0.000
YDR514C	0.000
YDR515W	0.000
YDR516C	0.000
YDR517W	0.000
YDR521W	0.000
YDR522C	0.000
YDR523C	0.000
YDR524C	0.000
YDR528W	0.000
YDR530C	0.000
YDR534C	0.000
YEL001C	0.000
YEL003W	0.000
YEL004W	0.000
YEL005C	0.000
YEL006W	0.000
YEL007W	0.000
YEL008W	0.000
YEL009C	0.000
YEL010W	0.000
YEL011W	0.000
YEL013W	0.000
YEL014C	0.000
YEL015W	0.000
YEL016C	0.000
YEL017C-A	0.000
YEL017W	0.000
YEL018W	0.000
YEL020C	0.000
YEL023C	0.000
YEL025C	0.000
YEL027W	0.000
YEL028W	0.000
YEL029C	0.000
YEL030W	0.000
YEL031W	0.000
YEL033W	0.000
YEL036C	0.000
YEL037C	0.000
YEL038W	0.000
YEL039C	0.000
YEL040W	0.000
YEL041W	0.000
YEL042W	0.000
YEL043W	0.000
YEL044W	0.000
YEL047C	0.000
YEL048C	0.000
YEL049W	0.000
YEL051W	0.000
YEL052W	0.000
YEL053C	0.000
YEL054C	0.000
YEL056W	0.000
YEL057C	0.000
YEL059W	0.000
YEL060C	0.000
YEL061C	0.000
YEL062W	0.000
YEL063C	0.000
YEL064C	0.000
YEL065W	0.000
YEL066W	0.000
YEL067C	0.000
YEL068C	0.000
YEL071W	0.000
YEL072W	0.000
YER001W	0.000
YER002W	0.000
YER004W	0.000
YER005W	0.000
YER007C-A	0.000
YER007W	0.000
YER010C	0.000
YER011W	0.000
YER016W	0.000
YER019C-A	0.000
YER019W	0.000
YER020W	0.000
YER024W	0.000
YER030W	0.000
YER032W	0.000
YER033C	0.000
YER034W	0.000
YER038W-A	0.000
YER039C	0.000
YER040W	0.000
YER041W	0.000
YER042W	0.000
YER044C	0.000
YER044C-A	0.000
YER045C	0.000
YER046W-A	0.000
YER047C	0.000
YER048C	0.000
YER049W	0.000
YER051W	0.000
YER053C	0.000
YER054C	0.000
YER055C	0.000
YER056C	0.000
YER056C-A	0.000
YER057C	0.000
YER059W	0.000
YER060W	0.000
YER060W-A	0.000
YER061C	0.000
YER062C	0.000
YER064C	0.000
YER065C	0.000
YER066C-A	0.000
YER067C-A	0.000
YER067W	0.000
YER068C-A	0.000
YER069W	0.000
YER071C	0.000
YER072W	0.000
YER073W	0.000
YER074W	0.000
YER075C	0.000
YER078C	0.000
YER079W	0.000
YER080W	0.000
YER081W	0.000
YER083C	0.000
YER084W	0.000
YER085C	0.000
YER086W	0.000
YER087C-A	0.000
YER088C	0.000
YER089C	0.000
YER101C	0.000
YER103W	0.000
YER106W	0.000
YER108C	0.000
YER109C	0.000
YER110C	0.000
YER111C	0.000
YER113C	0.000
YER114C	0.000
YER115C	0.000
YER116C	0.000
YER117W	0.000
YER118C	0.000
YER119C	0.000
YER119C-A	0.000
YER120W	0.000
YER121W	0.000
YER123W	0.000
YER124C	0.000
YER128W	0.000
YER129W	0.000
YER130C	0.000
YER131W	0.000
YER132C	0.000
YER134C	0.000
YER135C	0.000
YER137C	0.000
YER139C	0.000
YER140W	0.000
YER141W	0.000
YER142C	0.000
YER143W	0.000
YER145C	0.000
YER149C	0.000
YER150W	0.000
YER151C	-2.000
YER152C	0.000
YER153C	0.000
YER155C	0.000
YER156C	0.000
YER158C	0.000
YER161C	0.000
YER162C	0.000
YER163C	0.000
YER164W	0.000
YER166W	0.000
YER167W	0.000
YER169W	0.000
YER170W	0.000
YER173W	0.000
YER174C	0.000
YER175C	0.000
YER176W	0.000
YER177W	0.000
YER178W	0.000
YER179W	0.000
YER180C	0.000
YER181C	0.000
YER182W	0.000
YER183C	0.000
YER184C	0.000
YER185W	0.000
YER186C	0.000
YER187W	0.000
YFL001W	0.000
YFL003C	0.000
YFL004W	0.000
YFL006W	0.000
YFL007W	0.000
YFL010C	0.000
YFL010W-A	0.000
YFL011W	0.000
YFL012W	0.000
YFL013C	0.000
YFL013W-A	0.000
YFL014W	0.000
YFL015C	0.000
YFL018C	-1.000
YFL019C	0.000
YFL020C	0.000
YFL021W	0.000
YFL023W	0.000
YFL025C	0.000
YFL027C	0.000
YFL028C	0.000
YFL030W	0.000
YFL031W	0.000
YFL032W	0.000
YFL033C	0.000
YFL034W	0.000
YFL035C-B	0.000
YFL036W	0.000
YFL040W	0.000
YFL041W	0.000
YFL042C	0.000
YFL043C	0.000
YFL044C	0.000
YFL046W	0.000
YFL047W	0.000
YFL048C	0.000
YFL049W	0.000
YFL050C	0.000
YFL051C	0.000
YFL052W	0.000
YFL053W	0.000
YFL054C	0.000
YFL055W	0.000
YFL056C	0.000
YFL063W	0.000
YFR001W	0.000
YFR006W	0.000
YFR007W	0.000
YFR008W	0.000
YFR009W	0.000
YFR010W	0.000
YFR011C	0.000
YFR012W	0.000
YFR013W	0.000
YFR014C	0.000
YFR015C	0.000
YFR016C	0.000
YFR017C	0.000
YFR018C	0.000
YFR020W	0.000
YFR021W	0.000
YFR022W	0.000
YFR023W	0.000
YFR024C	0.000
YFR024C-A	0.000
YFR025C	0.000
YFR026C	0.000
YFR030W	0.000
YFR031C-A	0.000
YFR039C	0.000
YGL002W	0.000
YGL003C	0.000
YGL004C	0.000
YGL005C	0.000
YGL006W	0.000
YGL007W	0.000
YGL009C	0.000
YGL010W	0.000
YGL012W	0.000
YGL013C	0.000
YGL014W	0.000
YGL015C	0.000
YGL016W	0.000
YGL017W	0.000
YGL019W	0.000
YGL020C	-3.000
YGL021W	0.000
YGL023C	0.000
YGL025C	0.000
YGL027C	0.000
YGL028C	0.000
YGL031C	0.000
YGL032C	0.000
YGL033W	0.000
YGL034C	0.000
YGL035C	0.000
YGL036W	0.000
YGL037C	0.000
YGL039W	0.000
YGL041C	0.000
YGL042C	-3.000
YGL043W	-3.000
YGL045W	0.000
YGL046W	0.000
YGL049C	0.000
YGL050W	0.000
YGL051W	0.000
YGL053W	0.000
YGL054C	0.000
YGL056C	0.000
YGL057C	0.000
YGL058W	0.000
YGL059W	0.000
YGL060W	0.000
YGL062W	0.000
YGL063W	0.000
YGL066W	0.000
YGL067W	0.000
YGL071W	0.000
YGL072C	0.000
YGL076C	0.000
YGL077C	0.000
YGL078C	0.000
YGL079W	0.000
YGL080W	0.000
YGL081W	0.000
YGL082W	0.000
YGL083W	0.000
YGL084C	0.000
YGL085W	0.000
YGL086W	0.000
YGL087C	0.000
YGL088W	0.000
YGL089C	0.000
YGL090W	0.000
YGL094C	0.000
YGL096W	0.000
YGL101W	0.000
YGL104C	0.000
YGL105W	0.000
YGL108C	0.000
YGL109W	0.000
YGL110C	0.000
YGL114W	0.000
YGL115W	0.000
YGL117W	0.000
YGL118C	0.000
YGL121C	0.000
YGL126W	0.000
YGL127C	0.000
YGL129C	0.000
YGL131C	0.000
YGL132W	0.000
YGL133W	0.000
YGL136C	0.000
YGL138C	0.000
YGL139W	0.000
YGL140C	0.000
YGL144C	0.000
YGL146C	0.000
YGL147C	0.000
YGL148W	0.000
YGL149W	0.000
YGL151W	0.000
YGL152C	0.000
YGL154C	0.000
YGL156W	0.000
YGL157W	0.000
YGL158W	0.000
YGL159W	0.000
YGL160W	0.000
YGL161C	0.000
YGL162W	0.000
YGL163C	0.000
YGL164C	0.000
YGL165C	0.000
YGL166W	0.000
YGL167C	-2.000
YGL168W	-3.000
YGL170C	0.000
YGL175C	0.000
YGL176C	0.000
YGL177W	0.000
YGL179C	0.000
YGL180W	0.000
YGL181W	0.000
YGL194C	0.000
YGL195W	0.000
YGL196W	0.000
YGL197W	0.000
YGL198W	0.000
YGL199C	0.000
YGL200C	0.000
YGL202W	0.000
YGL203C	0.000
YGL205W	0.000
YGL208W	0.000
YGL209W	0.000
YGL210W	0.000
YGL211W	0.000
YGL212W	0.000
YGL213C	0.000
YGL214W	0.000
YGL215W	0.000
YGL216W	0.000
YGL217C	0.000
YGL218W	0.000
YGL220W	0.000
YGL221C	0.000
YGL222C	0.000
YGL223C	-3.000
YGL224C	-3.000
YGL226C-A	0.000
YGL226W	0.000
YGL227W	0.000
YGL228W	0.000
YGL229C	0.000
YGL230C	0.000
YGL231C	0.000
YGL232W	0.000
YGL234W	0.000
YGL235W	0.000
YGL236C	0.000
YGL237C	0.000
YGL241W	0.000
YGL242C	0.000
YGL243W	0.000
YGL244W	-3.000
YGL248W	0.000
YGL249W	0.000
YGL250W	0.000
YGL251C	0.000
YGL252C	0.000
YGL253W	0.000
YGL254W	0.000
YGL255W	0.000
YGL256W	0.000
YGL257C	0.000
YGL258W	0.000
YGL259W	0.000
YGL260W	0.000
YGL261C	0.000
YGL262W	0.000
YGL263W	0.000
YGR001C	0.000
YGR003W	0.000
YGR004W	0.000
YGR007W	0.000
YGR008C	0.000
YGR010W	0.000
YGR011W	0.000
YGR012W	0.000
YGR014W	0.000
YGR015C	0.000
YGR016W	0.000
YGR017W	0.000
YGR018C	0.000
YGR019W	0.000
YGR020C	0.000
YGR021W	0.000
YGR022C	0.000
YGR023W	0.000
YGR025W	0.000
YGR026W	0.000
YGR027C	0.000
YGR028W	0.000
YGR031W	0.000
YGR032W	0.000
YGR033C	0.000
YGR034W	0.000
YGR035C	0.000
YGR036C	0.000
YGR037C	0.000
YGR039W	0.000
YGR041W	0.000
YGR042W	0.000
YGR043C	0.000
YGR044C	0.000
YGR045C	0.000
YGR049W	0.000
YGR051C	0.000
YGR052W	0.000
YGR054W	0.000
YGR055W	0.000
YGR056W	0.000
YGR057C	-3.000
YGR058W	0.000
YGR059W	0.000
YGR064W	-2.000
YGR066C	0.000
YGR067C	0.000
YGR068C	0.000
YGR069W	0.000
YGR070W	0.000
YGR071C	0.000
YGR072W	0.000
YGR106C	0.000
YGR110W	0.000
YGR117C	0.000
YGR122C-A	0.000
YGR123C	0.000
YGR124W	0.000
YGR125W	0.000
YGR126W	0.000
YGR127W	0.000
YGR129W	0.000
YGR130C	0.000
YGR131W	0.000
YGR132C	0.000
YGR133W	0.000
YGR135W	0.000
YGR136W	0.000
YGR137W	0.000
YGR138C	0.000
YGR139W	0.000
YGR141W	0.000
YGR142W	0.000
YGR143W	0.000
YGR144W	0.000
YGR146C	0.000
YGR148C	0.000
YGR149W	0.000
YGR151C	0.000
YGR152C	0.000
YGR153W	0.000
YGR154C	0.000
YGR157W	0.000
YGR159C	0.000
YGR160W	0.000
YGR161C	0.000
YGR162W	0.000
YGR163W	0.000
YGR164W	0.000
YGR166W	0.000
YGR168C	0.000
YGR169C	0.000
YGR170W	0.000
YGR173W	0.000
YGR176W	0.000
YGR177C	0.000
YGR178C	0.000
YGR181W	0.000
YGR182C	0.000
YGR183C	0.000
YGR184C	0.000
YGR187C	0.000
YGR189C	0.000
YGR192C	0.000
YGR193C	0.000
YGR194C	0.000
YGR196C	0.000
YGR197C	0.000
YGR199W	0.000
YGR200C	0.000
YGR202C	0.000
YGR203W	0.000
YGR205W	0.000
YGR206W	0.000
YGR207C	0.000
YGR209C	0.000
YGR210C	0.000
